Date,Momentum,Nifty50,Nifty500
2021-07-07,0.00651670637161339,0.0038816171589777237,0.004188084068445841
2021-07-08,-0.006979309734777672,-0.0095562557277451,-0.007211498162432384
2021-07-09,0.007679890665773348,-0.0024224839292732447,-0.0003510020987240736
2021-07-12,0.0015109434170825775,0.00017844744498685117,0.0015560252466630953
2021-07-13,0.0031531157594368864,0.007630985495128417,0.005893402684328697
2021-07-14,0.00509346780817288,0.0026308921169333477,0.002366306953233588
2021-07-15,0.008469497777562784,0.004431072328003882,0.0043371381464853975
2021-07-16,0.0033392277509023405,-5.0225736783704455e-05,0.0016034597377010407
2021-07-19,-0.008421076599184008,-0.010738912280361723,-0.008914062018108404
2021-07-20,-0.012660183601392538,-0.0076369809214345,-0.009122726309319762
2021-07-22,0.02247893950422375,0.012279233123449584,0.012937610659043752
2021-07-23,0.0016557637751632992,0.002022238326785386,0.0012289378392340566
2021-07-26,0.0018236120296875047,-0.0019929055322251976,-0.000869467809499036
2021-07-27,0.0018470309690619136,-0.004929081202650898,-0.004738531333078777
2021-07-28,0.0016489172680205222,-0.002352898858342667,-0.002288667754567708
2021-07-29,0.01865946791076878,0.004395444954646832,0.004757270605346253
2021-07-30,-0.0027004840615962866,-0.000976039499086867,0.0015025214044166457
2021-08-02,0.008167856941966978,0.007746000136419795,0.00874174377762893
2021-08-03,0.007551542493798191,0.015460955882416139,0.011281456148964697
2021-08-04,-0.005312734564054122,0.007938242467802281,0.0021629256895994153
2021-08-05,0.0010507217385329337,0.0022018725316477195,0.0008733557294002825
2021-08-06,0.002962841639473801,-0.003461233501561467,-0.0019239247534135195
2021-08-09,-0.007746640487968248,0.0012347307242392969,-0.001404593554881317
2021-08-10,-0.01363298483908082,0.0013439090538649445,-0.003035501243493832
2021-08-11,0.004350002001534348,0.00013208706805212245,-0.0011660914469030503
2021-08-12,0.01068428473675298,0.005045395484346349,0.006874945107409269
2021-08-13,0.0043983949224650765,0.010064482340847336,0.006681224312862666
2021-08-16,0.0039103913828970605,0.002054024277023725,0.0003910337733203928
2021-08-17,0.0044873927204203135,0.0031122785775283823,0.0030062157840382575
2021-08-18,0.002490242784057628,-0.00275360231817956,-0.0012435133490338313
2021-08-20,-0.02267651323165265,-0.007142898400624986,-0.010755154004926215
2021-08-23,-0.005285241686955211,0.0027931806783987323,-0.0009610195295248758
2021-08-24,0.019853438466519657,0.007768362083601765,0.009525853173223409
2021-08-25,0.005182185543465279,0.0006045728309951315,0.0021580821941968864
2021-08-26,0.0014145811266403907,0.00013525983096518424,0.0009472813109525635
2021-08-27,0.013845901033924246,0.004105261588480014,0.006064380750320897
2021-08-30,0.0189816138264558,0.013519836521704187,0.014472479066924615
2021-08-31,0.01784007207988969,0.011880446175423387,0.01097376858887178
2021-09-01,-0.0007242624629555383,-0.00326573477436376,-0.00031264210623627164
2021-09-02,0.0069164093996372245,0.009246783727399066,0.009140057938754165
2021-09-03,0.006055063847603792,0.005190230833697296,0.005104093609564986
2021-09-06,0.003838325655106889,0.0031287476677577253,0.003153934597425856
2021-09-07,-0.005913197482686816,-0.0009035189246697772,-0.001458858386259143
2021-09-08,0.002913201093496909,-0.0004953092983268625,0.0013088005774735123
2021-09-09,0.005949332104590921,0.0009075978909154347,0.002219097391585878
2021-09-13,0.006985685441734724,-0.000803098507419775,0.001061576086366367
2021-09-14,0.0031955615875358667,0.001423151293159064,0.0035112294444872294
2021-09-15,0.00844711868762027,0.00802354538262362,0.007796405118741134
2021-09-16,-0.0002828109677383006,0.006281634763507293,0.005615686290827426
2021-09-17,-0.011762463356207342,-0.002515647600612625,-0.005140748301685871
2021-09-20,-0.027500284997361235,-0.010705054879733056,-0.013342445264079239
2021-09-21,0.009930186215019843,0.00949017386246398,0.00806312659014563
2021-09-22,0.004062386571210608,-0.0008740239935656202,0.0029606028517101812
2021-09-23,0.015850534371599334,0.015746528367181822,0.014335743079468832
2021-09-24,-0.00771710988221197,0.0016972499684944076,-0.0008878406865454602
2021-09-27,-0.0020496319639172755,0.00010644538279747096,-0.0001909165259594836
2021-09-28,-0.009196408394762878,-0.0059646824901542495,-0.0061524793637369735
2021-09-29,0.005941856242575483,-0.0021015082285871234,-0.0005729765943234266
2021-09-30,0.0007857633018266696,-0.005259376020738893,-0.002273477982450256
2021-10-01,-0.0006875196299848119,-0.004886983449795879,-0.002570992119188098
